Student ID,Age,Sex,Graduated High-School Type,Scholarship,Additional Work,Regular Artistic or Sports Activity,Partener,Total Salary,Transportation to University,Accommodation Type,Mothers Education,Fathers Education,Number of Siblings,Parental Status,Mothers Occupation,Fathers Occupation,Weekly Study Hours,Reading Frequency (non-scientific books/journals),Reading Frequency (scientific books/journals),Attendance to the Seminars/Conferences Related to the Department,Impact of your Projects/Activities on your Success,Attendance to Classes,Preparation to Midterm Exams 1,Preparation to Midterm Exams 2,Taking Notes in Classes,Listening in Classes,Discussion Improves my Interest and Success in the Course,Flip-classroom,Cumulative Grade Point Average in the Last Semester,Expected Cumulative Grade Point Average in the Graduation,Course ID,Grade
1,22-25,male,other,50%,Yes,No,No,USD 135-200,Bus,rental,primary school,secondary school,3,married,housewife,other,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,never,useful,<2.00,<2.00,1,DD
2,22-25,male,other,50%,Yes,No,No,USD 135-200,Bus,rental,secondary school,high school,2,married,housewife,retired,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,always,useful,2.00-2.49,2.50-2.99,1,DD
3,22-25,male,state,50%,No,No,No,USD 201-270,Other,dormitory,secondary school,secondary school,2,married,housewife,retired,<5 hours,none,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,never,not useful,2.00-2.49,2.00-2.49,1,DD
4,18-21,female,private,50%,Yes,No,Yes,USD 201-270,Bus,dormitory,primary school,secondary school,5 or above,married,housewife,retired,6-10 hours,none,Sometimes,Yes,Yes,always,alone,regurlarly during the semester,always,sometimes,sometimes,not useful,2.50-2.99,2.00-2.49,1,DD
5,22-25,male,private,50%,No,No,Yes,USD 271-340,Bus,other,high school,high school,2,married,housewife,self-employment,<5 hours,none,none,Yes,Yes,always,with friends,closest date to the exam,sometimes,sometimes,sometimes,not useful,2.00-2.49,2.00-2.49,1,DD
6,22-25,male,state,50%,No,No,No,USD 201-270,Bus,rental,high school,high school,2,married,housewife,private sector employee,none,none,Sometimes,Yes,Yes,always,alone,closest date to the exam,never,sometimes,never,useful,3.00-3.49,3.00-3.49,1,DC
7,18-21,male,state,75%,No,No,No,USD 135-200,Bus,with family,primary school,high school,1,married,housewife,self-employment,<5 hours,Sometimes,Sometimes,No,Yes,sometimes,alone,closest date to the exam,always,always,always,not applicable,3.00-3.49,3.00-3.49,1,BB
8,18-21,female,state,50%,Yes,Yes,Yes,USD 201-270,Private car/taxi,with family,university,high school,1,married,private sector employee,private sector employee,none,Sometimes,Sometimes,Yes,Yes,always,not applicable,closest date to the exam,always,sometimes,sometimes,not useful,<2.00,<2.00,1,DC
9,22-25,female,other,50%,No,Yes,Yes,USD 135-200,Bus,with family,secondary school,university,2,married,housewife,self-employment,none,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,always,sometimes,sometimes,useful,3.00-3.49,2.50-2.99,1,BB
10,22-25,female,state,50%,No,No,Yes,USD 271-340,Other,dormitory,primary school,secondary school,3,married,housewife,private sector employee,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,sometimes,useful,<2.00,2.00-2.49,1,Fail
11,18-21,female,private,50%,No,No,No,USD 271-340,Private car/taxi,with family,high school,university,2,married,government officer,government officer,none,none,none,Yes,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,sometimes,useful,<2.00,<2.00,1,DC
12,18-21,female,private,75%,Yes,Yes,No,USD 341-410,Private car/taxi,with family,MSc.,MSc.,1,married,government officer,government officer,6-10 hours,Often,Often,Yes,3,always,not applicable,regurlarly during the semester,always,never,always,not applicable,3.00-3.49,2.50-2.99,1,Fail
13,18-21,female,private,75%,No,No,No,USD 135-200,Bus,rental,high school,MSc.,4,divorced,housewife,government officer,6-10 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,sometimes,sometimes,not applicable,3.00-3.49,2.00-2.49,1,Fail
14,22-25,female,state,Full,No,No,No,USD 135-200,Bus,rental,secondary school,secondary school,2,married,housewife,private sector employee,none,Sometimes,none,Yes,Yes,sometimes,alone,closest date to the exam,always,sometimes,always,not applicable,3.00-3.49,2.00-2.49,1,DD
15,above 26,male,state,75%,Yes,Yes,No,USD 271-340,Other,dormitory,high school,primary school,2,married,private sector employee,retired,<5 hours,Sometimes,Sometimes,Yes,Yes,always,alone,closest date to the exam,sometimes,always,sometimes,not useful,3.00-3.49,3.00-3.49,1,DC
16,22-25,male,state,50%,No,No,No,USD 135-200,Bus,dormitory,university,university,2,married,government officer,retired,<5 hours,Sometimes,Sometimes,No,3,sometimes,alone,closest date to the exam,always,sometimes,sometimes,not applicable,2.00-2.49,2.00-2.49,1,DC
17,18-21,female,state,Full,No,Yes,No,USD 135-200,Bus,rental,secondary school,secondary school,4,married,housewife,private sector employee,<5 hours,Sometimes,Sometimes,Yes,Yes,sometimes,alone,closest date to the exam,always,sometimes,always,not applicable,3.00-3.49,2.50-2.99,1,DD
18,22-25,male,state,50%,No,No,No,USD 135-200,Bus,rental,secondary school,secondary school,2,married,housewife,retired,<5 hours,Sometimes,Sometimes,No,Yes,sometimes,alone,closest date to the exam,sometimes,sometimes,sometimes,useful,2.00-2.49,2.00-2.49,1,DC
